,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
5.00_1257.81,,,,1257.8112,5.002,2993,5488,5701,3877,3749,7024,11958,11256,5921,3490,7421,2911,12239,3751,7842,3216,4048,4032,1908,4380,3324,4531,2157,4624,3299,3885,2050,6357,2494,3340,2640,4655,5147,3145,4531,6036,2811,4566,3499,2246,2953,3435,3528,3902,2687,2949,2636,2778,3838,3706,3210,4639,3906,3016,55,189,7,78,178,50,3,3885,4131,4120,4151,3933,3745,3926
9.82_991.72,,,,991.7164,9.82,5236,11356,6863,4002,2884,5738,5801,3297,4773,5823,3170,5044,41266,4240,15336,4758,6754,3632,3366,2062,3485,2630,2525,3321,2808,3385,3681,2463,2960,2293,2891,2618,1925,2693,2473,1884,3062,1326,2319,3723,2045,1996,2368,2822,3285,2144,2848,3301,2204,2283,2626,1517,2641,3261,78,86,40,49,2,51,79,4275,3574,4116,4192,4382,3864,4045
9.11_853.71,,,,853.7103,9.111,9863,5137,4498,5126,4914,4673,5240,2286,4693,6521,1892,5808,2595,3196,4784,10893,4398,1672,6398,780,2527,2759,3721,3899,3247,2898,6485,1115,3124,1058,5997,2932,1830,3148,2670,2196,1499,661,1494,3527,984,1027,863,2306,3534,1566,2986,4114,1717,2488,1922,1553,2412,2891,320,114,4,2,220,107,2,3787,3756,4071,3730,3796,3925,3855
11.27_1011.83,,,,1011.8273,11.274,5710,4519,9384,4948,3090,3311,4490,2471,3602,9204,3885,4936,17452,6347,15633,6163,5817,4485,3002,925,2899,2746,4421,3320,2709,3545,2819,2350,2700,1446,5401,2871,4049,4471,3566,2114,1625,1092,1640,2591,1001,1365,1154,1847,4468,1944,3274,3100,1849,2229,2942,1255,3067,2808,34,4,8,4,69,3,45,4220,4492,4434,4591,4494,4537,4217
10.00_1042.88,,,,1042.8793,10.004,5767,10806,6459,4513,2870,7080,7127,2909,4552,7089,3051,5142,36324,4209,12944,5224,7191,4648,4111,2094,2957,2652,2978,3040,3055,3625,4368,1996,2964,2348,3393,2673,1605,2595,2891,1876,2086,1331,2003,3485,1406,1559,2289,2447,2856,1873,2895,3479,1838,1746,2103,1487,2278,2724,163,73,8,108,99,60,3,3879,5145,4163,4173,3892,4003,3797
5.46_607.51,,,,607.5088,5.459,1323,3061,4035,3182,3982,4564,5145,6947,5664,2688,5388,3735,2989,4918,2792,1121,4808,6549,1533,3407,2838,3640,1974,3955,3614,3730,1369,7826,2646,2843,2391,4453,4902,2778,2818,6467,5289,5232,4346,2470,4596,3875,4709,4147,3689,3923,2590,3794,5023,4365,5226,5351,3282,5009,719,660,813,733,768,685,609,3745,3652,3891,3299,3420,3939,3815
5.00_853.61,,,,853.6134,5.004,3247,4036,5103,3486,3871,8233,20971,12573,8679,2257,6645,3510,20078,2296,9426,2204,3193,3656,2490,5715,3520,5537,2263,5673,4008,4105,1906,21829,2805,3478,2241,4740,3697,2734,8174,10772,2579,3587,3141,2344,2135,3003,3712,3699,2331,2723,2473,2675,3469,2853,2612,4372,2665,2104,3501,3720,1730,3618,2949,3756,3845,3590,3688,3901,3905,3279,3371,3139
10.01_957.67,,,,957.665,10.014,3219,4158,4098,4095,3173,2640,3606,1783,4091,4985,1859,4574,3956,3604,5251,4012,3174,2956,4180,1633,3517,3674,4498,3925,3815,4520,5091,2764,3549,2000,4721,3392,2750,3495,3462,2784,2786,1946,2886,5133,2094,1761,2224,3319,4799,3532,4531,5241,2527,3077,3197,2135,3523,3463,199,233,243,203,205,166,137,4517,4231,4606,4523,4482,4745,4690
1.99_369.22,,,,369.2245,1.987,1303,1962,3466,3363,2586,4635,15526,8239,7908,2324,5853,2589,11974,2085,5114,1607,3808,2508,1521,2666,2434,74720,1084,4494,2073,2238,1581,21204,2334,2923,1590,4089,4312,2886,5113,5490,1902,3516,2733,1594,1497,2575,3302,2318,299,2514,2741,1985,3093,2188,1952,1548,2280,2476,2583,1776,6327,2893,3261,2342,2132,3174,3405,2808,3204,2001,2383,2343
9.68_571.47,,,,571.4714,9.683,8327,4581,4025,4726,3806,2914,3174,1885,3400,6174,1713,4808,3576,2402,3726,10808,3677,1631,7110,994,2447,2541,4796,3551,3328,2977,8935,1273,3617,1197,6647,2439,1721,3545,2776,1767,1648,859,1535,3918,861,999,817,2056,3663,1862,2819,4068,1666,2196,1836,1469,2234,2525,330,276,266,282,348,245,280,3502,3662,4204,3508,3906,3804,3823
10.90_991.85,,,,991.8486,10.905,4385,5675,6040,3904,2845,5484,8965,3982,5595,6096,4531,3871,22242,4297,12486,4586,4353,5009,3166,3132,3641,3707,2842,3916,2462,3936,2731,3503,2499,2327,3136,4465,3946,2934,6071,4583,2524,2794,2605,3060,2432,2918,2890,3588,3097,2494,2646,2811,2610,2369,3068,2405,3213,2963,221,282,302,117,273,282,241,3897,3771,3658,4064,3750,3899,3684
9.46_922.77,,,,922.7702,9.46,8445,5814,5109,7135,4798,4338,3402,1203,4335,3633,966,4146,2393,4156,4308,8707,6635,1165,5947,1086,2519,3095,4006,5708,3430,3753,7068,1861,3298,2108,6325,2584,2671,4785,5106,1167,1469,698,2217,2608,84,1498,963,2396,3647,850,3279,2697,1451,2447,1653,1193,2775,2954,545,593,232,568,250,286,296,4581,4089,4281,4562,4368,4258,4427
9.89_1003.85,,,,1003.8527,9.888,6939,7374,6330,4931,3216,5664,4894,1999,4280,5654,2516,6255,20784,4890,10636,6990,6444,2681,4294,1490,2676,2538,3397,3943,3192,3197,3959,1808,3012,1696,4666,2494,1902,2715,2175,1772,2185,1144,1726,3762,1311,1322,1502,2187,3958,1874,3102,4115,1818,2584,2420,1564,2508,3279,89,87,128,72,113,52,149,3932,4110,4106,4405,4008,4084,3968
11.82_995.78,,,,995.7785,11.818,5729,4191,5671,4370,2699,2182,4114,1292,2574,5781,2436,2926,3282,3778,6200,6140,4083,2888,4632,1702,3758,3238,5010,2688,2885,3433,3105,1152,4046,3049,6348,2681,3955,4063,3361,2575,1971,1521,2407,3773,1836,1795,2101,2481,4393,3525,3840,4029,2507,3687,2778,1761,4338,2694,467,546,615,585,480,566,481,4015,4684,4179,4758,4970,4680,4579
5.96_770.58,,,,770.5757,5.958,2065,4974,3667,4489,4866,11402,7364,9294,9871,3689,7899,6053,4561,7870,2551,1432,5702,2829,2970,3543,3153,4578,1466,4811,4237,5202,823,5672,2463,4499,2475,2836,737,641,1440,7515,2875,2123,3756,2285,4203,3902,3272,3115,1667,3528,536,2232,6288,2991,4553,7322,2937,4994,5,563,655,5,5,5,5,2660,3685,3870,4103,3567,3657,3429
9.08_928.74,,,,928.7423,9.084,7971,6808,5281,5268,3664,4847,4570,2465,5163,6986,2648,6813,14142,3747,7632,8125,4984,1979,5178,1261,2260,2510,3608,3083,2673,2809,6562,2493,2555,1607,4511,1981,1196,2160,2077,1418,2339,995,1743,4548,1468,1390,1368,2618,3326,1767,3006,4642,1476,1907,2005,1473,1887,3444,86,74,279,2,17,47,50,3750,3958,4347,4007,3761,3672,3879
11.11_1272.03,,,,1272.0342,11.109,2779,4924,5751,3634,3763,7576,12509,5404,7280,2679,5878,3158,9324,3808,9248,2343,3638,4196,2021,4208,3451,5721,1873,5958,3402,3822,1839,7585,2643,2445,2403,6191,4961,3137,9621,9317,3057,4590,3286,2201,3278,3417,3370,4026,2468,2603,2045,2721,3751,3100,3388,4850,3084,3219,4396,5297,10775,5415,4938,5183,4988,3739,3931,3582,3637,3540,3460,3336
9.62_948.79,,,,948.7864,9.621,4833,859,7059,4015,4751,278,1739,1095,6583,6105,3409,6631,16,5410,2549,10190,1138,224,2305,664,2365,3460,6642,5838,1527,2373,7659,1717,1517,2435,7603,2164,2421,3694,4480,2107,3153,520,1979,5492,1657,1692,1567,2074,6305,593,5587,2336,1582,4000,1534,1034,2236,1174,208,381,428,373,3,299,240,5158,2324,5347,2044,5913,2031,3918
9.54_900.71,,,,900.7054,9.544,5389,5973,4020,4612,3960,3681,4257,2909,4371,4258,2557,4348,4914,3048,4488,5141,3686,2449,5444,1597,3209,3118,3964,3909,3834,3521,5697,1800,3751,2127,4851,2663,2419,3723,3418,1804,2554,1307,2118,4478,1723,1547,1460,2770,4034,2588,3373,4584,2725,3081,2829,2891,3069,3981,166,135,160,143,189,82,62,4581,4356,4299,3872,4108,4248,4161
5.45_716.55,,,,716.5503,5.45,4,2729,3770,4,337,4437,21,14,9,5352,1126,5520,20,8792,10,1076,6468,6340,2416,3857,4270,4083,203,6,4544,5162,2026,34,564,5532,2330,3556,5509,4334,4022,11,4183,6641,5677,3278,5643,5062,408,1390,3833,4499,3069,5256,4836,5578,6722,6138,3173,5567,3465,2811,2305,5066,4185,5978,6259,5712,5004,4156,5459,2676,4013,4323
11.70_949.82,,,,949.8191,11.703,7229,4968,6232,5132,3719,3740,5392,1478,3863,9516,2965,4540,4575,4762,7562,7325,5085,2769,4308,1640,3012,2879,3996,3367,2477,3135,2796,1883,3316,2565,5578,2408,3573,3653,3347,1961,1566,1217,2032,3100,1429,1644,1564,2058,3772,2231,3274,3099,2441,3072,2489,1789,3144,2794,350,356,328,338,371,385,413,4238,3489,3727,4321,4437,4206,4110
4.54_369.22,,,,369.2246,4.544,1618,1973,687,3467,2344,4711,16467,8335,8116,2455,5807,2502,7614,2081,5943,1455,3605,2039,1412,2979,2194,2669,1052,4733,47860,2566,983,20082,2435,3381,1340,4508,4662,2902,5221,2756,1835,2614,2943,1654,1657,2321,3494,2443,2208,2265,1571,829,2993,2132,2138,3480,2539,2193,2596,2435,5503,3175,3247,2071,1695,3213,3443,2841,3288,2220,2069,1867
8.89_1017.77,,,,1017.7654,8.894,6265,21972,8511,4659,2300,6610,6333,3884,3600,8513,3364,7445,68784,4633,25507,5525,8820,4276,3286,1274,2028,1588,2168,2008,1910,2414,3834,1996,1712,916,1978,1184,1140,1585,1155,890,2233,898,1139,3000,1062,930,1277,1558,2287,1023,1964,2922,1146,1258,1612,1024,1095,2006,87,100,113,54,3,36,3,3971,3669,4018,3730,3932,3746,3857
10.48_933.78,,,,933.7787,10.481,6189,4695,4734,4851,2288,1801,1345,500,1751,6190,1413,3527,6789,3520,5810,7344,4832,2454,5217,1304,3563,2645,6272,2425,3301,3183,7576,1213,4413,2266,4932,2329,2063,4296,3391,793,1419,948,2003,4959,1329,1222,1189,1521,3986,2656,3946,4705,1047,2677,2079,988,3141,2724,118,195,279,77,265,232,345,4163,4127,4576,4618,4262,4244,4571
9.22_571.47,,,,571.4727,9.22,9044,5928,4648,4816,4070,4794,4005,1804,3364,5485,2445,4855,5368,3137,5125,8665,4131,1694,6838,1299,2666,2932,3963,3523,3460,3138,7018,1567,3378,1636,5857,2344,1807,3127,3060,1914,1666,938,1340,3987,1227,1045,1055,2059,3349,1855,2705,4262,1819,2028,2034,1401,2145,3007,106,209,132,109,132,172,99,3542,3775,4004,3887,3889,3627,3731
10.31_969.72,,,,969.7192,10.315,3405,5620,2852,3947,2866,3591,4832,2184,4468,5105,2456,3825,5088,3338,4095,5517,3496,3667,4035,2134,3301,3636,3792,3118,3363,3898,4300,1755,3395,2632,4583,2765,3345,3682,3515,2774,2722,2363,2970,4394,2316,2320,2548,3134,4177,2996,3540,4125,3211,3326,3254,3044,3603,3451,749,733,645,207,804,784,346,3907,3958,4218,4582,4239,4440,4727
10.64_967.85,,,,967.8492,10.639,4709,5482,3695,3872,2713,3464,2147,1002,3459,5607,2244,3807,4103,3251,6258,5271,4018,2834,4670,2517,3728,3598,4614,3534,3515,3798,5279,2064,3858,2437,4103,3050,2538,3952,3805,1450,2400,1744,3068,4813,2232,2159,2333,2923,3621,2727,3900,3983,2322,2708,2420,1936,3266,3130,860,956,879,1101,847,930,924,4289,4220,4332,4415,4284,4264,3993
9.93_548.47,,,,548.4727,9.928,4896,3383,4628,3855,3569,3872,8495,4050,4561,4977,3186,3846,7770,3081,5663,6531,3095,2555,4114,2010,2865,3175,4179,3916,2876,3098,6066,9197,2825,2162,5031,2854,3111,2517,3520,4484,2639,2020,2390,3910,1841,1745,1982,2647,4706,2731,3464,4042,2518,2852,2777,2437,2786,3046,1955,1969,2873,1891,1922,1950,2010,3580,3590,4035,3654,3764,3597,2529
9.87_595.47,,,,595.4727,9.865,3962,3920,2000,3572,2495,2211,1972,1077,3099,3872,1470,4067,2077,2085,2208,5817,2387,1125,8071,1298,3128,2313,5535,1991,3129,3485,12435,1024,3882,1989,4327,1933,1610,2607,2084,1472,2608,1468,2501,6804,1683,1604,1775,2708,3917,2774,4116,5234,2052,2890,1940,1554,2415,2921,90,124,247,56,1,39,61,3623,3477,3623,3824,3672,3713,3655
9.99_982.79,,,,982.7916,9.993,5721,4700,5857,3712,2308,3412,3492,1138,3069,8182,2412,6183,30722,4521,12872,8005,5730,3005,3950,766,2208,2223,4650,2741,2490,3127,5100,1152,2463,937,6271,1694,1674,2366,1752,1207,1908,982,1351,3291,1318,1020,1441,1692,4690,1730,3466,4871,1534,1829,2562,1328,2039,3483,40,87,89,4,47,71,3,3640,3795,3943,3922,3707,3600,3648
9.20_887.65,,,,887.6523,9.195,10628,7455,5899,5220,4244,5652,6157,2449,3948,4015,2630,3960,4589,2910,4361,8543,4002,1605,6477,1824,2797,3787,3163,4362,4250,3295,4438,414,3759,2114,6353,3657,2191,3805,4161,2375,1462,615,1177,2816,866,1026,859,1640,3379,1824,2034,3194,2162,2244,2109,2006,2596,2844,246,50,443,58,148,155,98,3901,4357,3844,4320,4255,4113,4416
8.99_1025.84,,,,1025.8386,8.989,6937,5857,4173,5134,3453,3623,3839,2455,4388,9608,2304,8006,9264,4408,8265,7662,4789,2536,4253,693,1939,1895,4877,2423,2046,2547,5914,1175,2312,1029,4759,1741,1502,1800,1343,1019,2476,806,1706,3803,1078,930,1181,2192,4954,1715,3370,4508,1702,2297,2456,1374,2158,3856,51,52,100,53,40,43,82,3481,3321,3589,3428,3436,3520,3762
9.94_963.82,,,,963.8167,9.937,5109,5584,4321,4588,3114,3027,2442,1629,4236,5508,2641,4444,7642,4001,6394,5226,4308,3146,3897,1846,3177,2685,4229,3286,2789,3246,4455,2395,3129,2518,3702,2761,2629,3038,3217,1616,3053,2084,2978,4194,1771,2063,2009,3038,4014,2833,3937,4008,2551,3552,3085,2454,3387,3496,436,153,509,317,362,251,186,3887,4251,4061,4231,4217,4220,3284
9.63_859.68,,,,859.6798,9.629,5474,4885,3922,4656,4799,4301,5217,2859,6564,4931,2205,5305,3264,3850,4174,5294,3193,2263,4757,1439,3249,3326,3755,3336,3816,3203,5151,2659,4083,1885,4644,3140,2566,3527,2776,2536,2394,1139,2595,3887,1768,1798,1671,3608,3319,2533,3669,4072,2657,3089,2384,2384,2994,3015,174,190,166,135,65,124,37,4161,4202,4480,3943,4173,4140,4378
10.27_916.75,,,,916.7452,10.266,10012,8539,7804,5460,5412,9241,9450,2937,6313,6975,3980,6153,11226,4696,9040,7266,7295,3010,3215,1663,2996,3586,1933,5877,3282,3555,1410,2365,2627,740,3867,2925,2279,2648,3281,2784,635,5,418,2369,910,724,1062,2392,2867,1097,2580,3241,2881,2793,2364,2373,2516,3502,108,146,268,163,242,196,118,4594,3962,3862,4518,3951,4455,4229
5.00_719.54,,,,719.5425,4.996,1090,4317,3262,4185,8903,8206,4932,10966,12745,3276,7029,8150,2480,5272,1955,761,3118,3521,2649,4360,3045,3994,1498,4679,5246,4350,1363,7902,3064,5987,2528,4144,2065,2091,3398,4186,4071,3164,3655,3057,3284,3093,3795,3657,1422,2821,1800,2711,3826,2105,3144,4912,1725,3367,151,95,328,217,147,287,72,3684,3471,3295,3287,3387,3631,3728
5.19_1554.06,,,,1554.059,5.192,1914,5969,3911,3356,6993,6855,2879,6234,5886,5287,7789,11283,2012,5596,3658,1223,7602,5726,1443,5797,3070,3480,1786,3747,4033,3803,1183,1107,3064,3657,1539,3125,2763,1845,1210,1609,5232,3387,3264,2203,4545,3341,4126,1748,2448,3334,1566,2227,3306,1934,3799,3579,1939,3739,2,92,4,2,2,27,2,3281,3576,3443,2979,3366,3338,3513
9.38_888.66,,,,888.6578,9.377,6553,5260,3781,4176,4287,4006,4471,2449,4270,4321,2181,4610,2558,3054,3988,5836,3319,2041,5828,1496,3377,3607,3669,4693,3943,3950,5411,2365,3878,1757,5100,3461,2263,3771,3743,2672,2090,1031,2058,4103,1308,1548,1225,3046,3911,2470,3222,4367,2383,2541,2437,1847,2821,3077,100,236,77,112,102,90,99,4231,4271,4333,4212,4755,4561,4358
9.24_938.67,,,,938.6705,9.239,4969,5926,4509,4211,3583,3780,4908,3137,4813,5730,2465,6034,7059,4008,6485,5366,4023,2473,5125,1526,3304,2749,3736,3833,3130,3719,5859,1695,3428,1729,4207,2336,1845,2769,2783,1723,2511,1292,2138,4937,1403,1491,1433,3016,3788,2189,3716,4331,1970,2257,2459,1733,2807,3465,77,104,123,77,80,212,64,3758,3955,4012,4140,4302,4483,4144
9.91_958.67,,,,958.6702,9.906,3836,4371,3338,4042,3164,2866,3578,2529,4135,4271,2161,3549,4557,2919,4670,4265,3176,2373,4453,1887,3208,2521,4204,3516,3101,3513,5622,3314,3448,2887,3957,2780,2243,3337,2810,2573,3373,2024,3288,4939,2081,1942,2404,3191,4156,3293,4001,4565,2931,3842,3097,2848,3203,3955,293,342,562,256,344,372,345,4413,4433,4173,3991,3949,4081,4227
11.28_1088.96,,,,1088.9569,11.276,6289,4118,9794,4530,2899,2709,3915,1684,2852,10227,3170,4558,14829,5833,14782,6627,5870,4249,3306,638,2870,2615,5083,3046,2547,3123,2857,1461,2778,928,5782,2669,2946,4047,2763,1633,1549,792,1424,2803,839,937,915,1536,4313,1923,3286,2968,1495,2185,2766,996,2757,2457,91,3,6,41,28,37,94,4421,4360,3999,4144,4303,4306,4271
9.24_925.80,,,,925.8035,9.243,8445,4372,3986,4829,4544,2510,3444,845,3509,6321,1400,5106,1678,2892,3840,9727,3994,1502,6451,762,2423,2823,5059,3302,3322,2977,7727,844,3389,868,6724,2623,1604,3297,2407,1507,1385,541,1151,3856,801,649,676,1803,3974,1835,3110,4313,1679,1932,1917,1163,2252,2867,236,141,79,131,100,105,194,3757,3600,3872,3631,3726,3910,4112
6.73_824.65,,,,824.654,6.734,665,757,899,1245,2749,1228,1805,2027,2684,707,2026,1404,1788,1614,955,439,830,3505,4270,8387,7394,5850,4719,3678,7990,4838,3728,3179,7486,7894,2260,5156,6437,4479,6265,6301,2868,3484,5447,2464,5114,6993,2982,3937,3253,4391,3432,2984,1775,1199,2158,1667,3175,1386,6464,6318,6642,6269,6226,6983,6424,3571,3448,3582,3656,3617,3643,3453
10.41_938.69,,,,938.6856,10.41,4055,5245,5494,4324,3881,5127,6485,2835,4965,3483,3234,3212,5845,3651,5898,3724,3891,2684,2971,2417,3761,4803,3287,5449,4072,3705,2787,2953,3580,2966,3964,4537,3667,3976,6675,4702,2429,1934,2699,2972,1900,2108,2092,2645,3283,3231,3204,3557,3657,3328,2954,3660,3501,3135,3280,3838,4586,3743,3672,3606,3601,4350,4383,4718,4654,4312,4531,4323
10.30_883.65,,,,883.6518,10.297,3279,3797,3633,3560,3960,2177,3886,2261,3887,3235,1682,3169,711,2762,3119,3665,2371,1744,4231,1645,3437,3868,3825,3891,3715,3801,4939,2056,3724,3302,3991,3027,3106,3281,3911,2583,3647,3552,5033,4983,3338,3123,3517,4532,3907,4120,4072,4246,2664,2951,2613,2325,3021,2343,2029,2479,2975,2254,2335,2157,2341,4159,4166,4348,4718,4183,4743,4357
9.51_829.71,,,,829.7115,9.509,6694,4170,3297,4302,4988,2535,3188,1786,5070,5724,1550,5358,2361,2914,3457,7982,3069,1647,6951,968,2743,2982,4616,3537,3357,3139,8646,1394,3403,1315,5476,2576,2017,3213,2993,1909,1625,822,1557,4221,1255,1012,1029,2454,3464,2064,3489,4428,1636,1919,1633,1392,2152,2577,233,141,8,140,125,55,114,3614,3758,3617,3698,3939,3396,3677
8.95_934.79,,,,934.7935,8.952,9743,4650,4567,5425,3922,2083,3582,1561,2734,5744,1980,5347,193,2013,4801,12177,4185,1373,5599,564,2420,2461,6675,1933,2726,2963,9119,1024,3430,1196,5624,2183,1443,3450,2195,1034,1406,749,1299,3428,869,736,348,931,3326,1466,2460,3958,1102,1794,1499,810,1884,3095,4432,4599,1322,3871,4220,4328,4315,3641,3687,4028,3404,3590,3633,3631
5.08_776.58,,,,776.5809,5.08,278,1208,801,1601,4930,12134,6328,13831,9555,215,5101,4266,9,3563,1103,179,190,727,3767,5468,865,4086,3356,5676,2355,3639,2170,3947,2994,5274,4953,5208,4384,4268,4281,1353,4848,4660,3257,4645,6011,244,3504,3314,4520,4535,1577,2026,3067,4797,6302,4954,3867,3358,63203,57221,40542,57086,57155,59057,59714,8023,3560,2386,5351,5939,4125,7841
6.66_804.63,,,,804.6332,6.66,2069,2540,4010,2107,3823,5338,4195,7875,6627,3645,6272,3968,3800,3114,4284,1008,3878,3981,3640,8495,5664,8420,4707,7133,4943,3853,2906,7382,5362,5606,1652,2757,2983,1804,2611,3336,3118,3240,3533,2044,3673,3738,3332,2838,2467,3559,2261,2398,2088,1676,2456,2977,2062,2188,549,535,632,383,342,528,489,3831,3534,3954,3240,3369,3099,3686
11.00_1049.93,,,,1049.9303,10.999,5423,6120,5991,4046,2604,3043,4034,1163,3295,8140,2200,4498,9196,3550,8167,5391,5393,3234,4917,3274,3549,2972,4149,2844,3183,3288,4629,1311,4087,3190,3890,2189,1866,3553,2588,1460,1713,1243,2225,4861,1437,1551,2002,2525,3249,2213,3806,3462,1469,1993,1979,1154,2524,2536,84,66,153,89,88,69,32,3916,4301,4314,4440,4363,4206,3843
10.08_985.68,,,,985.6846,10.082,4442,3533,5251,4362,2638,2974,4727,2551,4514,4686,3086,4151,9723,4535,8419,4029,4600,3217,3057,1416,2934,3190,3720,4068,2859,3741,3509,4256,2957,1941,4236,3357,3020,3077,3237,2699,2822,2253,2885,3769,1924,1925,2147,2882,4521,3006,3851,4195,2443,3307,3693,2400,3575,3784,431,393,472,369,358,369,319,4014,4182,4379,3904,3937,4106,4073
11.82_974.91,,,,974.9075,11.817,6172,4273,5934,4524,2870,2638,4395,1487,2770,5775,2192,3058,2938,3689,5539,6345,4180,2914,4482,1190,3672,3179,4678,3250,3177,3288,3386,1303,4009,1918,5716,2980,4376,3882,4613,2759,1657,1321,1870,2944,1040,1952,1354,2013,4258,2672,3498,3725,2356,3592,2942,1636,4451,2721,672,623,904,825,706,818,644,4193,4282,4422,5126,4774,4412,4487
11.90_878.82,,,,878.817,11.902,3853,3005,3514,2620,753,2993,5331,3248,3537,2378,2066,1669,4460,2169,3929,3261,2418,2003,3686,1968,3574,3181,10517,3382,2924,2839,2017,8293,2914,3761,3234,2870,3195,2733,4768,3743,3214,3486,3997,4052,4035,4864,4564,4847,2986,3919,5570,3414,3081,3930,2442,2727,3080,2527,1281,1378,2543,1470,1294,1288,1219,3694,4078,3560,4010,4197,3555,3824
9.27_595.47,,,,595.4723,9.265,11985,5466,4930,5357,3733,4376,5468,1706,3590,5527,2046,5105,5501,3100,5441,10571,4759,1872,5646,1015,2242,2729,3371,3701,3176,2958,5707,1604,2762,1130,6907,2620,1948,3286,2272,2290,1435,594,987,2578,683,883,729,1688,3191,1341,2184,3581,1729,1977,2054,1591,2143,3163,92,120,230,104,94,86,137,3617,3527,3409,3814,3896,3712,3400
9.07_888.71,,,,888.7088,9.07,6722,3362,4682,4520,2966,2240,3910,1456,2941,3523,1881,4071,2824,3476,4532,6897,3368,2142,5256,817,2417,3501,4777,3581,3827,3478,7554,1695,2964,1059,7953,2866,2351,3319,3385,2154,1457,788,1547,3795,1172,1039,990,2047,4369,2004,3460,5547,1603,1986,2955,1492,2747,3643,3,79,8,79,3,3,77,3568,3646,3743,4105,3819,3417,3795
10.86_989.73,,,,989.7309,10.858,5553,5718,5872,5348,3430,4612,6157,2465,4561,5440,3078,4008,8251,3982,7487,4820,5109,2831,3203,2672,3206,2873,2920,3581,3232,3495,3177,1951,3140,3946,3297,3052,2857,3431,3613,2412,2159,1719,2504,3206,2048,2114,2235,2649,3420,2673,3118,3590,3035,2834,2990,2570,3369,3095,442,596,472,517,458,475,487,3995,4402,4394,4369,4229,4306,4213
9.05_1021.73,,,,1021.7252,9.052,3001,6866,6806,3503,2400,4516,5326,5645,4011,9275,4218,7136,67496,4493,30394,6151,6591,3984,3106,1384,2115,1382,2237,2153,1993,2379,3879,3909,1794,1414,2952,1713,1103,1585,1383,1103,3437,1397,1436,3417,1427,1343,2540,1888,2578,1138,2148,3319,1258,1259,1759,1475,1427,2613,69,52,8,60,69,71,3,3471,3232,3468,3626,3747,3703,3550
10.49_850.78,,,,850.782,10.492,4357,2702,2696,3136,2954,2451,2499,1175,4209,5975,1680,4462,2544,2702,2988,6087,2431,1681,5533,1968,3494,2465,5196,3285,2505,3884,7204,1981,3574,6488,5429,981,1896,3248,1611,984,2145,1039,2490,5609,2305,1961,1709,2878,4179,2752,4182,3825,2266,2287,1984,1629,2781,2189,162,277,502,450,364,522,543,3068,4092,3893,4341,3610,4234,4398
9.79_957.67,,,,957.67,9.79,7561,5616,4733,4823,4357,4763,6096,2425,4146,6092,2295,4420,4781,3297,6532,6995,4857,2007,4817,1149,2707,3366,3623,3767,3172,2981,4325,2184,3749,1626,4939,3155,2483,3857,3626,2352,1638,847,1709,3493,1214,1373,1303,2164,3535,2226,2962,3741,2233,2615,2446,1585,2764,3075,302,364,298,306,293,216,317,4243,4304,4100,4068,4291,4276,4204
10.26_941.75,,,,941.7509,10.262,5097,6392,6469,4730,3250,4198,5255,3202,5361,6186,2209,5270,19198,4847,9227,6017,5295,3258,3587,1751,3143,3519,2919,3791,3225,3095,2315,2395,2952,624,4105,3044,2519,2656,3391,2194,2256,1590,1651,3492,2035,1727,1527,2723,3579,1893,3326,4214,1856,2766,2650,2148,2818,3101,166,129,132,75,131,47,96,3657,4151,4331,4241,4483,3879,4240
9.78_886.70,,,,886.6987,9.778,3802,3838,4263,4041,3658,3361,4219,3112,5753,4457,2385,5135,4282,4088,5104,4034,3127,2231,4845,1169,2924,3260,4201,4284,3248,4495,4678,2079,3216,2159,4425,2643,2824,3344,3245,1376,3036,1393,2592,4101,1978,1198,1858,3394,3850,2723,3940,4203,2588,2985,2754,2719,3135,3433,61,167,315,80,3,97,3,4397,4312,4501,3690,4175,4123,4137
9.27_933.76,,,,933.7633,9.271,5416,6984,6077,4839,4406,7258,9369,3171,5612,4259,3776,4011,10149,4001,7566,4649,4546,3023,3389,1950,3024,3948,1952,5284,3598,4396,2920,746,3019,1871,4120,4415,3460,3396,3969,2052,1947,638,1681,2935,1168,1446,1368,2513,3239,1948,2835,3252,3394,2835,3261,2807,3608,3760,1,2,123,2,40,87,1,4171,4126,4023,4618,4909,4866,4765
