,,,,,,Label,S4.1 L,S4.2 L,S4.3 L,S4.4 L,S4.5 L,S4.6 L,SR.1 L,SR.2 L,SR.3 L,SR.4 L,SR.5 L,SR.6 L,S30.1 L,S30.2 L,S30.3 L,S30.4 L,S30.5 L,S30.6 L,PR.1 L,PR.2 L,PR.3 L,PR.4 L,PR.5 L,PR.6 L,P4..1 L,P4.2 L,P4.3 L,P4..4 L,P4..5 L,P4.6 L,P30.1 L,P30.2 L,P30.3 L,P30.4 L,P30.5 L,P30.6 L,TR.1 L,TR.2 L,TR.3 L,TR.4 L,TR.5 L,TR.6 L,T4.1 L,T4.2 L,T4.3 L,T4..4 L,T4..5 L,T4.6 L,T30.1 L,T30.2 L,T30.3 L,T30.4 L,T30.5 L,T30.6 L,Biorec001,Biorec002,Biorec003,Biorec004,Biorec005,Biorec006,Biorec007,MtdBlank001,MtdBlank002,MtdBlank003,MtdBlank004,MtdBlank005,MtdBlank006,MtdBlank007,PoolQC001,PoolQC002,PoolQC003,PoolQC004,PoolQC005,PoolQC006,PoolQC007
4.16_597.49,,,,597.4878,ESI (+),4.157,6416,5862,7376,3615,11084,5234,3676,4056,5769,7241,4503,6311,2187,5811,3681,2500,7370,4317,2752,1951,2210,2986,2615,4013,3114,2228,2019,1149,2611,2506,5982,4003,7744,5231,2495,3284,10188,6097,5185,4539,5142,4471,7371,4928,4852,5624,5090,5545,9527,10341,13943,6587,5137,11110,161,50,147,101,142,99,129,47,107,91,92,40,64,77,4707,5134,5174,4889,4951,5209,5635
5.00_1692.07,,,,1692.073,ESI (+),5.003,5588,6765,6944,6552,5482,5837,3853,5470,4521,6689,6448,4173,2932,5003,5364,7877,4532,4732,4830,5486,5070,4923,5216,4964,5379,5741,6038,1332,5004,5440,5908,5676,6000,5955,2254,3331,3857,5831,5212,5150,4376,4955,5158,5721,5534,5126,5738,5428,5272,5972,4175,6010,5706,5045,199,3.53,3.53,144,137,80,3.53,3.53,59,40,3.53,46,38,60,5916,6401,5940,6257,6194,6205,6454
11.19_966.85,,,,966.8492,ESI (+),11.193,15993,6460,5656,6326,4244,2149,811,639,1984,17416,1547,7952,2078,4816,3749,16045,8369,3510,13572,1825,4516,2319,10978,2729,4808,4372,10421,231,7805,4217,12036,2188,2171,6159,1131,702,2924,1801,3341,8901,3508,2294,2962,3086,7606,4620,7237,8017,2896,5264,3192,1790,5378,4600,419,420,265,475,449,374,608,48,3.62,3.62,40,3.62,36,3.62,6656,6484,5910,6382,8041,6589,6289
11.50_876.80,,,,876.8033,ESI (+),11.503,7889,2537,2312,4036,2188,1212,978,782,1701,4666,1501,2225,610,2237,1486,11141,2885,2187,12203,2182,4299,2407,14641,2194,4619,3483,15307,787,8508,8591,9528,2006,2433,6660,2247,1038,5692,4154,7659,13968,8649,7385,6499,6693,7835,9681,12439,6553,3997,8990,3761,2549,5043,3602,2326,2135,1451,1969,2129,1759,2252,753,511,876,713,518,707,761,5284,5670,5798,6132,6694,5844,6149
8.50_912.71,,,,912.7097,ESI (+),8.499,10148,3725,4957,7683,5825,1915,1463,884,3353,13650,2069,12925,1397,7429,4096,15871,6737,3723,8440,779,2659,1899,11283,2774,3383,4431,18953,460,4420,1280,12530,2129,2220,3811,1039,1153,4422,1611,3486,8843,2218,1945,1992,3743,12572,3804,7989,9554,2360,4882,5759,1892,4133,8114,3.62,3.62,3.62,3.62,3.62,3.62,3.62,96,66,133,131,121,49,84,5782,5109,5333,5261,5568,5642,5674
9.42_937.67,,,,937.6713,ESI (+),9.416,6118,5666,3798,5458,5191,2276,969,1298,3968,9501,1701,10093,1495,6273,3010,8426,5408,4582,10431,1553,4615,2865,10040,3288,6038,6090,13351,557,6399,2856,9767,2963,2461,5227,1655,1340,5734,2061,4230,11768,3496,2777,2775,5081,9624,4922,8420,9964,4157,5724,6075,3205,5693,7842,113,128,71,124,121,123,75,65,63,90,95,48,58,96,6130,5993,5949,6303,6375,6332,6467
11.51_919.85,,,,919.8451,ESI (+),11.514,6594,5210,4619,4866,4917,3362,2151,1375,3674,5549,2997,4872,1453,4936,3905,7276,5096,4779,7521,5206,5724,5219,7031,5258,5328,5759,6021,587,5872,6253,6363,5290,5444,5402,5097,3976,6096,5290,5803,6908,5864,6017,6125,6198,5956,5908,6860,4457,5891,6235,5524,4575,5951,5339,4817,4637,3240,4691,5398,4878,5245,166,208,188,71,164,165,119,5465,5230,5612,5982,6107,6418,6168
11.79_962.91,,,,962.9126,ESI (+),11.787,17617,5050,5305,6420,4290,2033,1264,783,1827,2909,1836,4099,926,5722,3780,9621,5776,4607,11516,3374,6558,3888,13652,4108,4443,5108,670,181,7144,2780,2906,3841,5137,6923,3651,1653,4768,3457,4580,9754,1307,2114,4607,7115,9349,7637,13297,5812,5312,7912,4961,3283,8048,5231,2440,664,1427,1730,529,2361,2540,149,56,145,44,53,1.03,40,6433,7437,7614,8352,8558,8155,7757
4.69_575.45,,,,575.4452,ESI (+),4.688,2724,3014,3534,2125,3723,3896,1136,1964,2743,3323,2939,5249,1899,3773,2091,2220,4363,4037,3672,2959,3531,2716,4360,4019,4812,3750,6014,1772,7678,9039,10447,6938,6662,6463,3827,3653,8221,7319,6258,4355,23753,9128,10932,4964,3898,7757,4162,9628,4829,4395,5465,5231,4645,7096,11177,5656,4945,13863,6403,6848,6578,1779,2042,2611,1578,1142,1349,1243,4825,4542,4767,4135,4540,4921,4940
5.78_844.54,,,,844.5386,ESI (+),5.783,2474,3745,3935,5087,8631,3879,1817,3271,3891,4655,4273,4691,761,6090,1480,2724,4547,5941,6368,6278,5347,5134,4790,4625,5705,6336,5734,2211,6186,6430,5668,5262,4348,5250,3509,3706,6071,6616,6421,6703,6493,5966,6234,5706,6941,6915,6145,6303,6454,6134,7202,5796,5493,6318,4884,4681,3164,4201,4271,4279,4598,91,283,193,77,82,77,114,5640,5792,5138,5096,5087,6200,5943
4.87_810.53,,,,810.5303,ESI (+),4.874,962,3674,1815,4023,7575,3477,1379,1997,4592,3770,3130,7176,1339,6789,2070,1876,2344,4845,4838,5218,4281,3792,6510,4093,8548,4739,3346,1581,5916,3831,3217,3212,7041,4282,2872,3547,9428,6096,6699,7520,5253,6390,3939,6804,6677,6369,7075,9169,9458,9459,9970,7610,7028,10025,45,17,221,208,117,191,40,66,101,126,137,174,181,182,5192,5200,4427,5147,4480,5013,5213
7.52_658.61,,,,658.613,ESI (+),7.516,3347,3367,4866,7010,6385,2693,1429,3313,5055,4959,7335,5512,1227,7112,2740,2202,5069,13290,10177,11578,13582,7696,17041,8871,8481,10148,12675,1658,8371,8567,6381,4840,7159,5748,2888,3035,3055,4114,1953,1390,3586,1738,3656,1448,2182,2226,1576,2521,2617,1811,2917,2273,1464,1832,61,147,86,145,77,144,63,102,139,46,176,160,180,98,5418,5113,5135,4854,5111,5387,5721
8.58_966.74,,,,966.7404,ESI (+),8.577,14663,9738,4963,7250,6440,3331,1278,1184,3318,14706,1917,14850,3065,6664,4986,17411,8355,3463,11981,1358,2781,2114,9586,2677,4353,4066,17114,299,5137,1671,10748,2025,1429,3438,1378,883,3690,756,2087,9005,1916,1488,1841,2573,7377,2576,4961,7994,2454,3249,3906,1775,3009,6740,148,69,64,69,117,118,200,72,3.7,3.7,3.7,42,3.7,3.7,5377,5160,5000,5205,5113,5306,5526
9.83_835.68,,,,835.6824,ESI (+),9.831,10111,6212,5149,7056,7890,3143,1710,1285,3413,9332,1972,8156,857,5046,2573,15618,6495,2859,12938,1303,4911,3914,9837,5258,6804,5471,11594,419,7749,2447,13110,3901,3330,6991,2717,1582,2771,1237,2709,7050,2185,1980,1577,3528,7886,4091,6749,7529,3880,4443,3943,2555,4969,5385,498,293,96,281,426,270,162,133,22,54,90,51,2.21,44,6444,5850,6420,6216,6569,6669,6564
9.89_1002.85,,,,1002.8483,ESI (+),9.895,12371,8247,6847,7319,4918,3670,1421,1030,2934,10612,1996,9986,6407,6729,6364,14379,10249,3719,10546,1655,3875,2699,8968,4119,5088,4781,10941,342,5969,2811,10683,2447,2147,4876,1592,914,3630,1389,2713,7005,2083,2036,2415,2969,8268,3463,6213,7756,2749,4296,4403,2291,3940,6168,155,163,39,139,126,169,104,95,39,40,54,3.5,53,44,5891,5833,5880,6075,5890,5910,5915
10.03_621.49,,,,621.4885,ESI (+),10.03,8770,3766,3570,5560,3293,1256,441,401,1439,10771,851,7391,1062,4415,2111,15577,4192,2438,16265,1266,4212,2312,16845,2651,5624,5010,27971,217,7464,2202,13841,2201,1776,5556,1396,691,3339,1334,2620,12169,1937,1749,1696,2866,10525,4486,9002,9948,2131,4026,3762,1348,4015,4775,162,122,41,138,3.1,95,139,3.1,44,97,47,57,42,68,5791,5886,5178,5583,5860,5673,5522
5.47_429.37,,,,429.3734,ESI (+),5.467,9265,4954,4338,5378,3279,6520,5256,5517,4123,9171,8923,6398,2742,4867,7769,8973,5438,5609,9104,6059,9634,4838,25210,5177,5256,3801,15492,806,3900,7945,5061,2039,2158,3187,2198,1905,3226,2747,3992,3213,4269,3560,3719,2449,3859,3841,3168,3759,2129,2572,1845,1832,1684,2309,7614,7137,7278,6849,6507,6770,6549,276,159,221,130,179,207,228,5576,5209,5323,5005,5150,5224,4888
5.12_748.59,,,,748.5864,ESI (+),5.123,1367,1845,2140,2967,6163,1972,810,1896,3984,2792,3251,7916,471,6320,759,1185,3989,9073,7275,10088,8452,4912,9790,4259,8535,7461,6548,588,8903,8458,5346,3456,5524,4415,1648,2458,9057,5659,7583,6422,9258,7345,6244,5552,6492,6945,4624,5177,3915,4027,6906,4007,5895,4191,348,418,110,60,129,235,121,86,95,79,75,122,80,49,4632,4897,5056,4954,4986,5554,5569
10.09_1040.86,,,,1040.8615,ESI (+),10.087,8108,10602,6199,5597,3196,2731,1083,1066,2233,10603,2317,7527,9112,5355,11555,8903,7494,5628,9667,2075,5522,2538,11228,2424,4871,5459,13055,458,4180,2526,7972,2788,2300,4523,1632,992,4630,1943,2827,8931,2874,2536,3025,3918,8498,4198,7245,8508,2891,3978,4890,2030,4495,5217,154,161,61,117,101,3.67,74,3.67,3.67,41,38,3.67,3.67,3.67,5624,6277,5902,6193,5995,6435,5944
10.29_891.73,,,,891.7314,ESI (+),10.286,20838,9877,3382,6071,3747,5382,1348,895,2984,10849,1812,4954,1367,6462,4352,19608,10482,2820,8827,2345,5486,3682,9264,5463,5638,4116,10426,358,5805,5169,8506,4173,1974,7037,2785,1088,3576,1642,2776,4082,1526,1753,2258,1893,6118,3889,6092,5243,4612,6214,4414,3819,5311,1320,555,363,158,238,468,491,613,71,44,90,9,60,119,83,7322,6497,5472,6125,5214,5044,7660
4.51_903.50,,,,903.4974,ESI (+),4.511,3834,6166,5965,4668,12876,5428,3399,4726,6758,7660,5229,5777,2770,8573,3831,3613,6828,8803,2772,2787,2259,3722,1944,5037,3731,3343,2302,1569,3425,3014,5789,4416,5806,4592,2735,3127,6206,5289,4902,4654,5189,5096,6272,5815,5519,5217,4281,4798,7615,7802,9805,5045,5808,7083,1645,1669,658,1740,1856,1888,1925,146,52,181,98,260,149,146,5232,4945,5111,5365,5231,5597,5563
5.46_731.55,,,,731.5518,ESI (+),5.456,4233,6984,11839,4419,2588,3007,1808,5867,2292,22403,5506,13840,3720,4929,6778,8196,7916,9913,6691,9075,9117,3258,14609,4856,6819,6968,10445,1901,4423,3473,3673,1883,2233,1539,1182,2090,4503,2324,534,1569,628,1085,4635,1471,6810,2218,2481,8007,1175,2805,6978,2938,1249,3405,4.28,86,58,4.28,103,67,4.28,4.28,4.28,4.28,54,142,4.28,4.28,5802,5234,5990,5267,5303,5161,5380
10.64_651.53,,,,651.5349,ESI (+),10.641,8712,5341,2973,4583,2499,1460,500,425,1131,12023,902,5271,1506,3530,2241,16347,5625,2946,19874,1984,4882,2596,17622,2092,6235,4577,28200,267,9985,3849,11230,2068,1981,6713,1718,785,2739,1441,2681,12396,1855,1978,1948,2970,6486,3776,7225,7948,2067,3205,2847,1130,3913,3702,590,656,197,613,676,612,687,54,80,3.9,53,43,3.9,125,5480,5384,5448,5747,5527,5936,5670
9.38_896.75,,,,896.753,ESI (+),9.385,14263,5293,4268,7274,5530,2291,1180,644,2573,8428,1502,6213,688,3865,2149,19284,5731,2439,14307,1304,3921,3090,12142,3745,6134,4375,21065,160,7794,2244,14600,3302,2918,7171,2243,1145,3032,1170,2828,7736,1763,1433,1318,2409,8077,3936,6307,7722,2627,4007,4029,1719,4432,4592,470,203,237,287,555,255,394,82,85,77,37,71,41,67,5279,5324,5415,5602,5678,5878,6205
3.45_725.52,,,,725.5227,ESI (+),3.446,4125,3734,7046,2717,2719,2296,2280,7257,8700,3803,4409,4561,5811,2597,3843,4305,2549,3522,2932,2214,1749,2112,2858,2821,2499,2592,7706,7160,5577,12603,11345,9367,4855,6984,6574,4461,5739,5156,5977,3354,8517,5255,8665,5002,7013,8466,4771,4318,6092,4239,4883,5031,4964,4193,6971,10865,4786,12096,4603,5095,4984,1460,1839,3423,2451,1324,1718,1602,5211,4660,5121,4922,5136,4976,5833
10.32_995.88,,,,995.8779,ESI (+),10.324,9184,6090,3995,6464,4630,2926,954,817,2512,9516,1724,7093,2276,4917,3044,11505,6733,3920,10999,2771,5695,2793,11098,2991,5331,4390,14760,320,7685,5260,7163,2651,2560,5698,2252,925,4305,2369,4794,10417,3801,3611,3467,3842,6432,4937,7554,7444,3653,5561,4561,2681,5453,5254,1179,828,522,475,928,642,944,3.54,3.54,3.54,3.54,47,3.54,3.54,5842,6048,6122,5849,6015,6150,6179
5.03_826.55,,,,826.5518,ESI (+),5.027,4407,6286,6282,5855,5730,5215,2862,4299,1199,8046,5205,6121,3276,7584,4163,5549,8000,7445,3461,5989,4122,1.18,6419,2661,4233,5115,5302,1414,5249,5572,4456,3683,6152,4480,2087,680,6781,6028,5153,5260,5669,5661,5008,5048,7133,6386,5290,4574,5869,6054,6714,5706,5879,5814,1.18,1.18,61,154,1.18,1.18,1.18,40,84,184,79,152,58,100,5899,5554,5546,5485,5529,6056,5783
0.80_372.24,,,,372.2442,ESI (+),0.803,18023,15066,22965,27150,8383,8954,7253,1117,2334,4939,15475,8888,3855,6083,3616,6193,7730,4660,11667,7594,5411,5681,4086,2734,4341,5061,3382,2987,1996,950,3648,3458,1343,2979,3479,3064,3344,3337,3511,2755,3597,2740,1051,1181,615,391,434,523,350,585,398,355,459,318,11061,3515,6507,9557,5382,7086,8062,4837,2785,4505,2576,1646,1706,1780,5307,4560,4879,4798,4754,5203,5686
7.18_800.66,,,,800.6633,ESI (+),7.177,1997,2623,2976,2955,4372,2818,1197,1548,3638,2688,4298,4497,1137,4774,1264,2178,4533,6067,4713,8456,8107,5168,9572,5197,7991,7290,9956,2469,8878,7685,6598,7268,6930,8225,3981,4100,7646,5144,4590,4291,6084,4770,4663,4054,4938,5117,3738,4103,5472,5376,7073,4923,5165,7099,986,911,507,827,871,774,763,402,123,31,121,213,123,110,5491,4815,4991,4872,4742,5104,5251
7.41_628.60,,,,628.6028,ESI (+),7.405,4324,10274,6990,7168,12282,6654,2512,5761,4185,15316,6719,14178,1439,8849,5391,3816,5518,8854,7474,8507,5566,3399,4313,3630,5829,10485,5124,1779,4603,4249,4346,4902,2861,3853,1974,2727,3323,3203,2660,2739,2957,2571,2555,2659,3106,3135,2335,2806,3758,3404,4989,3129,2757,4407,2018,1770,819,1487,1653,1416,1549,72,110,59,72,4.68,106,51,5254,4969,4827,4420,4862,4782,5075
8.87_934.79,,,,934.7858,ESI (+),8.865,19390,6265,4488,7599,5802,2625,957,638,2185,11616,1269,9375,602,4072,2495,26127,6958,1841,15827,876,3320,2567,10494,3194,5665,3594,20853,249,6505,1496,15440,2699,1923,5584,1602,1021,2012,527,1709,6118,1278,930,861,2437,7071,2443,4512,7202,2543,3003,3076,1499,2988,4879,1680,964,367,1270,1299,1467,1322,86,2.91,84,73,84,42,66,5254,5050,5373,5154,5115,5352,5499
9.65_1021.80,,,,1021.8049,ESI (+),9.652,10064,10656,8937,6669,4051,3411,1872,1357,2568,18021,2071,10376,13610,6939,15225,14807,13074,4937,8497,1142,2597,1744,6279,2351,3598,3591,10090,418,4495,2017,9200,1683,1420,3276,945,734,3256,1501,2404,6280,1655,1605,2458,2476,7592,2366,5410,6350,2018,2537,3006,1533,2662,4259,45,47,35,2.15,52,38,41,2.15,36,105,2.15,74,2.15,2.15,5651,5150,5357,5065,5491,5240,5698
9.41_954.76,,,,954.7563,ESI (+),9.409,9272,8381,5435,6540,4604,2817,1051,1664,3504,15707,2068,13403,8096,5991,8250,16395,8585,3784,11358,1342,3523,1992,9458,2667,4122,3975,16872,429,4552,1778,9215,1726,1288,3486,1071,918,4146,1148,2442,7986,2299,1647,2688,2905,7583,2928,5824,7806,1738,2958,3264,1403,2919,4880,116,40,50,67,46,45,3.49,38,38,36,50,3.49,37,58,5148,5047,5323,5156,5720,5201,5660
9.91_957.67,,,,957.6658,ESI (+),9.908,6849,4667,3843,5826,4933,1796,1023,1120,2741,8245,1644,6905,1319,4673,2641,8765,4491,3344,10699,2044,4571,2782,10871,3538,4779,4685,14694,416,6644,4107,9117,2775,2902,5808,1983,1221,5379,2506,4892,10120,3770,3196,3228,4293,9651,5821,7928,8391,4627,6921,6179,3672,5757,6754,427,417,271,367,415,528,408,95,65,109,61,46,60,52,5665,6051,5529,5718,5759,6367,5856
8.46_863.70,,,,863.6961,ESI (+),8.459,17809,4921,4720,7811,6512,2297,1478,815,2632,12063,1714,9095,630,4347,3274,25267,7213,2191,11774,847,2900,2587,9898,3032,4334,3959,17467,266,6320,1346,15591,3070,2149,5220,1517,994,2303,650,2104,5890,1467,1239,1044,2380,8816,2893,5756,7176,2252,3838,4096,1742,3483,6132,94,1.25,39,41,1.25,56,54,134,74,90,56,46,47,37,5372,5099,4961,5198,5254,5070,5325
5.03_786.57,,,,786.5665,ESI (+),5.033,9221,8542,11844,5318,4433,9201,5643,5434,5182,13232,8796,6627,2924,10241,6577,6971,17933,9450,3012,3611,1414,3925,2251,3870,4607,3165,1674,330,3832,4279,6824,3777,1113,3650,961,4827,3641,1076,3318,2790,3169,2447,2456,2170,2277,3625,1646,2327,7866,4385,5297,8057,2383,7588,425,377,203,3.51,3.51,248,3.51,165,67,79,61,130,93,107,5373,5514,5466,5096,5193,5662,5746
9.06_920.68,,,,920.6838,ESI (+),9.063,6507,5551,3882,6481,6126,2162,985,1362,4272,12560,1767,13954,1737,6174,4129,11093,5417,3721,11775,1151,4178,2405,10041,3256,4395,4868,19084,584,5623,1953,10107,2392,1902,4087,1424,926,4864,1613,3351,11361,2886,2315,2136,4232,9092,3721,7620,8905,2397,3367,4219,1801,4016,5249,1.17,1.17,1.17,84,1.17,52,1.17,103,12,41,84,38,122,96,5362,5096,5685,5410,6078,5631,5947
6.08_798.62,,,,798.6201,ESI (+),6.078,1.45,1.45,1.45,679,15465,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,203,1.45,1.45,736,11921,11635,10427,1217,10554,1048,16484,8281,9842,130,15013,14137,7824,1228,925,9716,3434,418,8328,5017,11169,6995,12433,13774,5757,6176,8229,11247,7510,4895,902,1476,2729,576,7511,5055,4485,3597,1656,3960,4122,3862,3244,87,161,35,158,100,109,121,4846,5908,5694,5644,5510,5853,6637
11.91_1004.96,,,,1004.9583,ESI (+),11.909,14650,5008,5845,5448,4531,2767,1834,965,2658,11584,2127,6278,1128,6372,3777,11342,6832,3833,10136,2930,5191,3256,9463,4140,5278,5010,5036,475,6175,5000,9244,3519,4790,5998,3021,2009,3376,2018,3162,6168,4979,3531,2876,3424,7170,5080,8530,4564,4261,5661,4284,2792,6465,4884,1413,1193,506,1104,1234,998,1143,195,138,162,162,229,210,97,5704,5911,6053,6606,7364,6655,6802
11.52_1006.88,,,,1006.8807,ESI (+),11.522,13993,4369,5364,6797,3456,1234,841,616,1943,22582,1397,7260,1183,5487,3909,17218,6175,2987,12050,767,3958,1778,15571,2186,3742,3324,9658,215,7107,2328,12133,1637,2331,6488,1167,553,2695,1390,2784,8791,2541,2057,2105,3120,10250,4635,9117,6028,2253,5785,3334,1280,4969,3918,161,181,46,181,73,139,99,44,36,40,3.63,37,3.63,3.63,5946,6289,5989,6808,6823,6443,6471
5.50_800.52,,,,800.5211,ESI (+),5.501,6911,8035,7768,5320,10938,7591,4725,7691,5748,9767,8609,12414,3604,9729,5600,5491,11002,7874,3521,4045,3474,3772,3188,4690,3602,4221,2497,1329,3518,3529,5314,4426,5580,4777,2473,3114,4203,2766,2772,2418,2979,2518,3498,1907,2991,2592,2111,2240,5951,4602,5604,6118,4359,5323,140,349,201,94,187,156,302,142,171,87,141,224,115,194,4951,5010,4672,4971,4978,5295,5419
4.28_788.56,,,,788.5591,ESI (+),4.28,1667,2423,2729,3742,6190,3606,1477,2662,3440,1789,4247,6945,1145,5853,1081,1393,2406,4557,4545,3489,4055,4326,3142,5695,4384,4566,3207,1611,5713,4251,6423,6490,6355,6500,3681,4953,8124,4317,5177,4539,6041,5599,6872,3715,5704,4921,4252,5966,9081,10890,11990,11440,7895,12906,125,352,168,247,105,114,224,257,125,187,163,86,2.09,76,5167,4705,5155,4594,4655,4972,4787
9.80_941.70,,,,941.6998,ESI (+),9.801,12567,9770,5788,6977,5762,4362,1870,1504,3427,9198,2091,7616,3505,5510,4005,12835,8268,3362,10466,3280,4643,3326,7378,4170,5503,4699,9154,575,6419,4247,8956,3181,2529,5847,2355,1515,3925,1604,2824,7210,2664,2397,2330,3402,6186,4001,5267,6016,3721,4525,4182,2998,4119,5211,229,127,135,268,194,229,228,92,100,113,4.11,73,84,4.11,5770,5435,5765,5936,5867,6384,6209
9.16_1054.30,,,,1054.2974,ESI (+),9.165,3091,2696,3184,13634,2017,5662,2445,1959,3098,3182,3879,2105,3316,2743,2247,2636,2690,3242,2528,8710,3366,3227,2900,2706,3139,2529,3405,3669,3654,2339,2359,3008,5589,3533,7031,2531,2588,10783,5340,2822,50277,4184,7175,3667,2793,2863,2481,4447,7251,5088,2480,17982,2636,4305,5004,27279,13184,3447,4409,5326,7149,9055,2982,2653,2387,3485,2568,3359,5001,7016,4762,2553,6877,4990,5593
4.63_812.52,,,,812.523,ESI (+),4.626,2977,5423,4441,4348,10237,3540,1333,3188,3752,5647,4938,11148,1685,6776,2769,4600,8820,12880,4625,5456,6168,5195,6512,4525,8153,6392,4815,1203,6085,7470,5564,5583,4708,6562,2591,3327,5177,3289,3607,3246,4085,3483,3941,3049,3500,4242,2534,4319,5010,4307,5663,4395,4549,6495,188,3.81,137,187,74,268,221,137,117,134,100,38,51,112,5543,4905,4975,4860,4961,4940,4927
5.00_1260.31,,,,1260.3136,ESI (+),5.002,5844,6432,6378,5866,4574,5411,4556,4949,3932,6237,6034,3936,4459,5470,6058,7390,5042,4853,4165,4618,4754,4682,5113,4650,5091,5241,5216,1815,4508,4836,5142,5065,5932,5445,2799,3901,3978,5364,4343,4900,4022,4712,4939,5203,5356,4554,4573,4858,5340,5468,4451,5010,5690,4966,102,172,167,90,3.41,100,114,37,44,3.41,55,137,45,70,5453,6039,5528,5709,5481,5558,5712
5.97_809.65,,,,809.6532,ESI (+),5.97,2907,7145,4185,2826,9283,5799,2306,4219,3691,8910,4031,10125,1670,6392,3776,3648,7103,8590,1468,1463,696,1175,777,2293,4463,4607,708,1376,5482,3050,5911,6111,4530,5542,2825,3687,7505,4059,4792,4789,6077,4262,5724,4644,4748,4609,2662,5931,10424,6994,8477,8855,6086,14335,6111,4.44,4.44,4.44,4.44,4.44,4.44,73,55,69,92,4.44,56,61,5091,4722,4856,4825,5062,5296,5361
10.51_597.49,,,,597.4884,ESI (+),10.507,23395,4831,5604,7877,4625,1409,998,391,1734,9421,1269,6107,1228,4517,2656,22182,7784,2494,14036,839,3543,2824,11608,3119,5239,3998,11788,175,7871,1664,16365,2191,2559,7422,1731,847,1810,580,1664,5973,1101,997,924,1766,8662,2955,5490,7600,2582,4278,3661,1792,3692,5401,645,566,218,505,555,523,540,38,39,155,130,86,80,54,5793,5455,5388,5787,5657,5837,5573
10.37_890.73,,,,890.7313,ESI (+),10.373,11214,5383,5830,7144,7235,5320,1927,1400,3837,10256,2336,6285,2030,5938,3912,13288,8656,3831,10211,2030,4998,4110,5711,4283,6250,5737,9312,844,6698,3582,8852,3815,3113,5653,2736,1776,2963,1381,2971,6555,2333,2598,3047,3504,5784,4398,5021,5845,4164,4458,3603,3070,4595,5300,4.63,4.63,317,328,408,172,201,157,51,78,125,64,120,75,6240,5103,4824,6182,5473,6218,6529
11.91_1030.97,,,,1030.9736,ESI (+),11.913,13698,5440,7157,6851,4919,2302,1767,802,2671,15182,2045,6382,1041,6532,4276,15899,7815,3509,11450,1522,4569,3171,10054,3824,4764,4376,6239,166,7346,3097,12138,2712,4386,6841,2460,1407,2477,1359,2788,4989,2090,1903,1961,2313,7121,4392,6238,5924,3421,5186,3702,2190,5693,4154,872,808,332,467,633,464,692,99,120,48,187,17,97,1.68,5860,5908,5604,6318,6756,5723,6061
9.57_935.71,,,,935.712,ESI (+),9.575,8430,6761,4730,6233,5772,3047,1423,1391,3861,11897,1907,11630,3920,7183,4425,10677,6950,3935,9164,1608,3938,2667,7903,3575,4551,4938,10751,736,5193,2719,8663,2249,2325,4196,1579,1090,4623,1848,3649,8000,3121,2587,2985,4089,7938,3623,6713,7489,3672,5119,4698,2830,4383,6963,134,140,134,52,3.49,78,131,58,45,45,3.49,3.49,43,106,5747,5492,5651,4837,6060,5680,5783
9.56_933.77,,,,933.7658,ESI (+),9.56,10119,6521,4996,5434,5532,3903,1919,1496,3935,8288,2743,7940,2920,5322,3990,12300,6321,4041,9324,2634,4232,3418,6567,4217,4984,5159,11333,435,5677,3755,8422,3618,3310,4765,2230,1534,4588,2151,3765,6816,2592,3222,2953,4321,6743,4588,5769,6229,4469,4719,5162,3703,5436,5684,77,141,135,209,3.68,184,138,157,59,97,178,79,49,37,5346,5210,4909,5084,5825,5819,5624
1.16_526.29,,,,526.294,ESI (+),1.159,7252,6568,8019,3530,4671,3978,3550,5501,3054,8318,4519,9762,1990,4185,3541,4059,5955,7114,5039,8550,5502,4753,5441,3517,5012,5530,6346,3775,8419,5976,5847,5144,3679,4776,1955,3834,4950,5806,4923,3593,4011,4625,4366,3289,5680,5161,4695,4264,2419,4138,6237,3880,2667,2831,528,531,389,552,492,465,628,153,154,54,82,5.2,139,141,5285,4628,5026,5010,4562,4558,4963
5.09_913.54,,,,913.5403,ESI (+),5.09,6956,4736,5643,4211,3538,7227,3864,4958,6009,4822,4094,3740,4885,4394,8256,12353,2374,4657,2034,5731,5145,2796,2664,4087,3202,6628,6433,3090,2962,6931,4437,6163,7724,5836,5040,3186,3252,8669,3257,4762,2628,5042,5910,3827,7467,4192,8236,4132,4303,2307,3590,3632,5632,4464,1089,567,495,837,581,777,794,113,85,125,132,131,156,5.75,2930,4850,4081,6271,4875,5624,5180
5.01_817.56,,,,817.5623,ESI (+),5.009,13257,16547,14719,10967,8307,15682,8171,10274,11576,17237,15133,3.49,8066,3.49,10784,14448,18968,3.49,9912,13635,3.49,4780,11608,3.49,7786,3.49,10482,3.49,3.49,8129,3.49,3.49,3.49,3.49,5170,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,1456,844,368,947,934,902,1353,78,42,44,3.49,36,73,71,3.49,3.49,3.49,3.49,3.49,3.49,3.49
